Facility Name:,Zip Code,County,Adult Dogs: In Shelter Count as of  1/1/2017,Adult Dogs: In Foster Care Count 1/1/2017,Adult Dogs: Stray,Adult Dogs: Owner Relinquished,Adult Dogs: Owner Requested Euthanasia upon intake,Adult Dogs: Transfer in from another Colorado organization  ,Adult Dogs: Transfer in from Out of State organization,Adult Dogs: Other: TNR/Protective Custody/Returns/Disaster Relief,Adult Dogs: Adoption,Adult Dogs: Returned To Owner (RTO),Adult Dogs: Transferred out to another Colorado organization,Adult Dogs: Transferred to an out of state organization,Adult Dogs: Other live outcomes (ie: tnr/snr),Adult Dogs: Died,Adult Dogs: Missing/Stolen,Adult Dogs: Shelter Euthanasia ,Adult Dogs: Owner Requested Euthanasia,Adult Dogs: In Shelter Count as of 12/31/2017,Adult Dogs: In Foster Care Count 12/31/2017,** End of Adult Dog section **,Juvenile Dogs: In Shelter Count as of 1/1/2017,Juvenile Dogs: In Foster Care Count 1/1/2017,Juvenile Dogs: Stray,Juvenile Dogs: Owner Relinquished ,Juvenile Dogs: Owner Requested Euthanasia upon intake,Juvenile Dogs: Transfer in from another Colorado organization,Juvenile Dogs: Transfer in from Out of State organization,Juvenile Dogs: Other: TNR/Protective Custody/Returns/Disaster relief,Juvenile Dogs: Adoption ,Juvenile Dogs: Returned To Owner (RTO),Juvenile Dogs: Transferred out to another Colorado organization,Juvenile Dogs: Transferred to an out of state organization,Juvenile Dogs: Other live outcomes (ie tnr/snr) ,Juvenile Dogs: Died,Juvenile Dogs: Missing/Stolen,Juvenile Dogs: Shelter Euthanasia,Juvenile Dogs: Owner Requested Euthanasia,Juvenile Dogs: In Shelter Count as of 12/31/2017,Juvenile Dogs: In Foster Care Count 12/31/2017,** End of Juvenile Dog section **,Adult Cats: In Shelter Count as of 1/1/2017,Adult Cats: In Foster Care Count 1/1/2017,Adult Cats: Stray,Adult Cats: Owner Relinquished,Adult Cats: Owner Requested Euthanasia upon intake,Adult Cats: Transfer in from another Colorado organization,Adult Cats: Transfer in from Out of State organization,Adult Cats: Other: TNR/Protective Custody/Returns/Disaster Relief,Adult Cats: Adoption,Adult Cats: Returned To Owner (RTO),Adult Cats: Transferred out to another Colorado organization,Adult Cats: Transferred to an out of state organization,Adult Cats: Other live outcomes (ie: tnr/snr),Adult Cats: Died,Adult Cats: Missing / Stolen,Adult Cats: Shelter Euthanasia,Adult Cats: Owner Requested Euthanasia ,Adult Cats: In Shelter Count as of 12/31/2017,Adult Cats: In Foster Care Count 12/31/2017,** End of Adult Cat section **,Juvenile Cats: In Shelter Count as of 1/1/2017,Juvenile Cats: In Foster Care Count 1/1/2017,Juvenile Cats: Stray ,Juvenile Cats: Owner Relinquished,Juvenile Cats: Owner Requested Euthanasia upon intake,Juvenile Cats: Transfer in from another Colorado organization,Juvenile Cats: Transfer in from Out of State organization,Juvenile Cats: Other: TNR/Protective Custody/Returns/Disaster Relief,Juvenile Cats: Adoption ,Juvenile Cats: Returned To Owner (RTO),Juvenile Cats: Transferred out to another Colorado organization,Juvenile Cats: Transferred to an out of state organization,Juvenile Cats: Other Live Outcomes (ie:tnr / snr),Juvenile Cats: Died ,Juvenile Cats: Missing/Stolen,Juvenile Cats: Shelter Euthanasia,Juvenile Cats: Owner Requested Euthanasia ,Juvenile Cats: In Shelter Count as of 12/31/2017,Juvenile Cats: In Foster Care Count 12/31/2017,** End of Juvenile Cats section **,Birds: In Shelter Count as of 1/1/2017,Birds: In Foster Care Count 1/1/2017,Birds: Stray,Birds: Owner Relinquished,Birds: Owner Requested Euthanasia upon intake,Birds: Transfer in from another Colorado organization,Birds: Transfer in from Out of State organization,Birds: Other: TNR/Protective Custody/Returns/Disaster Relief,Birds: Adoption,Birds: Returned To Owner (RTO),Birds: Transferred out to another Colorado organization,Birds: Transferred to an out of state organization,Birds: Other Live Outcomes(ie: tnr/snr),Birds: Died,Birds: Missing/Stolen ,Birds: Shelter Euthanasia,Birds: Owner Requested Euthanasia,Birds: In Shelter Count as of 12/31/2017,Birds: In Foster Care Count 12/31/2017,** End of Birds section **,Small Mammal: In Shelter Count as of 1/1/2017,Small Mammal: In Foster Care Count 1/1/2017,Sm Mammal: Stray,Sm Mammal: Owner Relinquished,Sm Mammal: Owner Requested Euthanasia upon intake,Sm Mammal: Transfer in from another Colorado organization,Sm Mammal: Transfer in from Out of State organization,Sm Mammal: Other: TNR/Protective Custody/Returns/Disaster Relief,Sm Mammal: Adoption,Sm Mammal: Returned To Owner (RTO),Sm Mammal: Transferred out to another Colorado organization,Sm Mammal: Transferred to an out of state organization,Sm Mammal: Other Live Outcomes (ie: tnr/snr),Sm Mammal: Died,Sm Mammal: Missing/Stolen ,Sm Mammal: Shelter Euthanasia,Sm Mammal: Owner Requested Euthanasia,Sm Mammal: In Shelter Count as of 12/31/2017,Sm Mammal: In Foster Care Count as of 12/31/2017,** End of Small Mammal section **,Reptiles & Amphibians: In Shelter Count as of 1/1/2017,Reptiles & Amphibians: In Foster Care Count 1/1/2017,Reptiles & Amphibians: Stray,Reptiles & Amphibians: Owner Relinquished,Reptiles & Amphibians: Owner Requested Euthanasia upon intake,Reptiles & Amphibians: Transfer in from another Colorado organization,Reptiles & Amphibians: Transfer in from Out of State organization,Reptiles & Amphibians: Other: TNR/Protective Custody/Returns/Disaster Relief,Reptiles & Amphibians: Adoption,Reptiles & Amphibians: Returned To Owner (RTO),Reptiles & Amphibians: Transferred out to another Colorado organization,Reptiles & Amphibians: Transferred to an out of state organization,Reptiles & Amphibians: Other Live Outcomes (ie: tnr/snr),Reptiles & Amphibians: Died,Reptiles & Amphibians: Missing/Stolen ,Reptiles & Amphibians: Shelter Euthanasia,Reptiles & Amphibians: Owner Requested Euthanasia,Reptiles & Amphibians: In Shelter Count as of 12/31/2017,Reptiles & Amphibians: In Foster Care Count as of 12/31/2017,** End of Reptiles & Amphibians section **,Rabbits: In Shelter Count as of 1/1/2017,Rabbits: In Foster Care Count 1/1/2017,Rabbits: Stray,Rabbits: Owner Relinquished,Rabbits: Owner Requested Euthanasia upon intake,Rabbits: Transfer in from another Colorado organization,Rabbits: Transfer in from Out of State organization,Rabbits: Other: TNR/Protective Custody/Returns/Disaster Relief,Rabbits: Adoption,Rabbits: Returned To Owner (RTO),Rabbits: Transferred out to another Colorado organization,Rabbits: Transferred to an out of state organization,Rabbits: Other Live Outcomes ( ie: tnr/snr),Rabbits: Died,Rabbits: Missing / Stolen ,Rabbits: Shelter Euthanasia,Rabbits: Owner Requested Euthanasia,Rabbits: In Shelter Count as of 12/31/2017,Rabbits: In Foster Care Count as of 12/31/2017,** End of Rabbits section **,Other: In Shelter Count as of 1/1/2017,Other: In Foster Care Count 1/1/2017,Other: Stray,Other: Owner Relinquished,Other: Owner Requested Euthanasia upon intake,Other: Transfer in from another Colorado organization,Other: Transfer in from Out of State organization,Other: TNR/Protective Custody/Returns/Disaster Relief,Other: Adoption,Other: Returned To Owner (RTO),Other: Transferred out to another Colorado organization,Other: Transferred to an out of state organization,Other: Other Live Outcomes (ie: tnr/snr),Other: Died,Other: Missing / Stolen ,Other: Shelter Euthanasia,Other: Owner Requested Euthanasia,Other: In Shelter Count as of 12/31/2017,Other: In Foster Care Count as of 12/31/2017,Location 1
High Country Basset Hound Rescue,80012,Arapahoe County,,16,,17,,5,4,,35,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AURORA 80012
(39.69879, -104.838565)"
Facility Name:,Zip Code,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"City Zip Code
(37.493115, -94.272707)"
Grand Valley Pit Crew,81524,Mesa County,17,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LOMA 81524
(39.240495, -108.799922)"
Majestic Canine Rescue,80864,El Paso County,73,0,0,19,0,7,2,0,7,0,0,0,0,3,0,3,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yoder 80864
(38.73857, -104.191482)"
Mountain Pet Rescue,80446,Grand County,0,19,0,8,0,4,88,7,112,0,1,0,0,0,0,1,0,0,12,,0,15,0,0,0,0,103,0,106,0,0,0,0,0,0,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Granby 80446
(40.037288, -105.887053)"
County of Bent/City of Las Animas Animal Shelter,81054,Bent County,0,0,99,0,0,,0,0,2,34,26,0,0,0,0,37,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Las Animas 81054
(37.92155, -103.115424)"
Breeder Release Adoptions Service,81024,Las Animas County,36,32,0,336,0,12,23,0,379,0,0,0,0,9,0,0,0,39,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boncarbo 81024
(37.21673, -104.695798)"
Lucky Day Animal Rescue of Colorado,81611,Pitkin County,,2,6,12,,5,28,,52,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,0,,,0,,1,,1,,,2,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,0,,,0,,1,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,0,"Aspen 81611
(39.171024, -106.822652)"
MaxFund Inc.,80204,Denver County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,46,121,272,0,6,24,0,408,10,3,0,0,47,0,0,0,217,10,,27,10,165,24,0,5,12,0,171,0,0,0,0,13,0,0,0,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Denver 80204
(39.7345, -105.020783)"
Second Chance Animal Rescue Foundation,81052,Prowers County,0,3,3,41,0,3,0,8,43,0,13,0,0,0,0,0,0,0,2,,0,2,0,85,0,4,0,0,60,0,28,0,0,2,0,0,0,0,1,,0,2,2,16,0,0,0,0,2,0,18,0,0,0,0,0,0,0,0,,0,0,29,31,0,0,0,0,7,0,50,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lamar 81052
(38.005204, -102.607585)"
Flitesong Cage Bird Sanctuary,80919,El Paso County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colorado Springs 80919
(38.927811, -104.852463)"
German Shepherd Rescue of Central Colorado ,80449,Park County,1,,,1,,,,,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hartsel 80449
(38.904284, -105.905756)"
Adams County Animal Shelter & Adoption Center,80601,Adams County,51,15,2022,505,157,86,1,345,1205,1330,251,20,7,12,1,130,156,56,14,,0,2,77,14,2,3,0,32,72,29,15,0,0,4,0,5,2,3,0,,27,3,793,283,42,7,0,66,580,125,84,0,0,6,1,313,42,65,5,,6,13,480,68,1,0,0,45,376,1,114,0,0,11,0,102,1,2,6,,0,0,21,13,2,0,0,5,23,2,12,0,0,0,0,2,2,0,0,,0,0,8,52,6,0,0,10,65,0,0,0,0,1,2,2,6,0,0,,0,0,14,7,0,0,0,17,14,3,4,0,2,3,0,4,0,6,2,,5,1,16,15,1,2,0,7,24,1,6,0,4,8,0,3,1,0,0,,0,0,10,4,0,0,0,17,18,8,0,0,0,1,0,0,0,3,1,"Brighton 80601
(39.969078, -104.800393)"
